date,Town,quartile.SVI_overall,town_population,Count2wk,SVI_overall,eohhs_name
2021-03-18,Dunstable,1,3403,11,0.0021,Northeast
2021-03-18,Sherborn,1,4335,3,0.0055,Metro West
2021-03-18,Bolton,1,5426,14,0.011,Central
2021-03-18,Mattapoisett,1,6401,12,0.0165,Southeast
2021-03-18,Boxford,1,8332,25,0.0199,Northeast
2021-03-18,Stow,1,7234,17,0.0226,Metro West
2021-03-18,Princeton,1,3488,5,0.0261,Central
2021-03-18,Carlisle,1,5252,4,0.0288,Metro West
2021-03-18,Dover,1,6127,12,0.0309,Metro West
2021-03-18,Westminster,1,7997,21,0.0343,Central
2021-03-18,Sutton,1,9582,29,0.03587405434203516,Central
2021-03-18,Holliston,1,14912,37,0.06383307366406997,Metro West
2021-03-18,Rowley,1,6473,15,0.07,Northeast
2021-03-18,Rehoboth,1,12385,18,0.07473383545770568,Southeast
2021-03-18,Groveland,1,6849,16,0.07690000000000001,Northeast
2021-03-18,Hubbardston,1,4829,2,0.0796,Central
2021-03-18,Medfield,1,12955,15,0.0796255177282711,Metro West
2021-03-18,Hanson,1,10914,49,0.07980015309051477,Southeast
2021-03-18,Essex,1,3799,8,0.081,Northeast
2021-03-18,Norfolk,1,12003,21,0.08222322097378278,Metro West
2021-03-18,Berkley,1,6851,22,0.0851,Southeast
2021-03-18,Granby,1,6291,13,0.09879999999999999,Western
2021-03-18,Georgetown,1,8768,19,0.09968745519713261,Northeast
2021-03-18,Newbury,1,7148,5,0.1009,Northeast
2021-03-18,Windsor,1,866,1,0.1064,Western
2021-03-18,Sandwich,1,20169,47,0.10688201793721973,Southeast
2021-03-18,Boylston,1,4712,6,0.1084,Central
2021-03-18,Duxbury,1,15921,35,0.11135474113226772,Southeast
2021-03-18,Hopkinton,1,18470,42,0.11212832110839446,Metro West
2021-03-18,Rutland,1,8938,28,0.1242,Central
2021-03-18,Westford,1,24817,41,0.12429399851202777,Northeast
2021-03-18,Wrentham,1,12023,40,0.12556698483040737,Metro West
2021-03-18,Medway,1,13479,23,0.12567690274841437,Central
2021-03-18,Mendon,1,6223,14,0.1297789333716668,Central
2021-03-18,Scituate,1,18924,45,0.1299667892780278,Metro West
2021-03-18,North Reading,1,15865,56,0.13313501470400207,Northeast
2021-03-18,Hingham,1,24679,88,0.13406525452828572,Metro West
2021-03-18,Mount Washington,1,157,0,0.1359,Western
2021-03-18,Sudbury,1,19655,16,0.13693370195493704,Metro West
2021-03-18,Groton,1,11325,19,0.13722993540394657,Central
2021-03-18,Maynard,1,11336,13,0.13872273584905662,Metro West
2021-03-18,Hanover,1,14570,45,0.13900828644856567,Southeast
2021-03-18,Wayland,1,13835,23,0.13948717321571774,Metro West
2021-03-18,Sterling,1,8174,29,0.14,Central
2021-03-18,Nahant,1,3513,12,0.1421,Northeast
2021-03-18,Plympton,1,2987,2,0.1434,Southeast
2021-03-18,Marblehead,1,20555,41,0.14663857868020305,Northeast
2021-03-18,Bellingham,1,17270,66,0.14919670897978374,Central
2021-03-18,Aquinnah,1,320,0,0.15310000000000001,Southeast
2021-03-18,Chilmark,1,922,1,0.15310000000000001,Southeast
2021-03-18,Gosnold,1,75,0,0.15310000000000001,Southeast
2021-03-18,West Tisbury,1,2904,0,0.15310000000000001,Southeast
2021-03-18,Reading,1,25400,92,0.15903009561752987,Northeast
2021-03-18,Oakham,1,1957,5,0.162,Central
2021-03-18,Franklin,1,34087,85,0.1620663315365514,Central
2021-03-18,Pembroke,1,18509,70,0.1640370410839161,Southeast
2021-03-18,Wenham,1,5278,3,0.1675,Northeast
2021-03-18,Ashland,1,17807,61,0.17364379267182523,Metro West
2021-03-18,Wellesley,1,28670,53,0.1748003357104547,Metro West
2021-03-18,Eastham,1,4906,12,0.17628726752503576,Southeast
2021-03-18,Manchester,1,5434,4,0.1784,Northeast
2021-03-18,Ashby,1,3219,0,0.17980000000000002,Central
2021-03-18,Sheffield,1,3129,5,0.1805,Western
2021-03-18,Cohasset,1,8548,19,0.1833,Metro West
2021-03-18,Hull,1,10475,16,0.18539641212586339,Metro West
2021-03-18,Ashfield,1,1717,0,0.186,Western
2021-03-18,Conway,1,1873,2,0.186,Western
2021-03-18,Sharon,1,18895,35,0.18682140217391302,Metro West
2021-03-18,Douglas,1,9038,22,0.1872475329046217,Central
2021-03-18,Rockport,1,7282,8,0.18765191347753743,Northeast
2021-03-18,Berlin,1,3240,5,0.1908,Central
2021-03-18,Halifax,1,7896,16,0.2052,Southeast
2021-03-18,Chatham,1,5982,17,0.20552719740048742,Southeast
2021-03-18,Southborough,1,10208,22,0.2070854291962821,Metro West
2021-03-18,Millis,1,8310,35,0.2073,Metro West
2021-03-18,Chesterfield,1,1249,2,0.208,Western
2021-03-18,Edgartown,1,4348,6,0.2086,Southeast
2021-03-18,West Newbury,1,4714,8,0.2093,Northeast
2021-03-18,Southampton,1,6171,13,0.2121,Western
2021-03-18,Hinsdale,1,1911,8,0.21431512816217124,Western
2021-03-18,Peru,1,834,0,0.21431512816217124,Western
2021-03-18,Paxton,1,4963,14,0.21606276106934,Central
2021-03-18,Lincoln,1,7052,3,0.21645894670621013,Metro West
2021-03-18,Tyringham,1,312,0,0.2169,Western
2021-03-18,Andover,1,36356,95,0.22199195708949984,Northeast
2021-03-18,Northborough,1,15109,31,0.23319905905905908,Metro West
2021-03-18,Chelmsford,1,35391,74,0.2336574639658128,Northeast
2021-03-18,Natick,1,36050,102,0.23491062273092594,Metro West
2021-03-18,Freetown,1,9394,38,0.23614045307443365,Southeast
2021-03-18,Upton,1,8065,16,0.2375,Central
2021-03-18,Holden,1,19303,55,0.23781759070769967,Central
2021-03-18,Melrose,1,28016,95,0.23810656565656566,Northeast
2021-03-18,Marshfield,1,25967,76,0.23841669723088207,Southeast
2021-03-18,Townsend,1,9506,9,0.2390118455843469,Central
2021-03-18,Newburyport,1,18289,16,0.24084038910505837,Northeast
2021-03-18,Lynnfield,1,12999,47,0.24240393993110138,Northeast
2021-03-18,Walpole,1,25200,81,0.2454228594249201,Metro West
2021-03-18,Boxborough,1,5793,4,0.2485,Metro West
2021-03-18,Littleton,1,10227,24,0.24952448917966788,Metro West
2021-03-18,Becket,2,1716,1,0.2533,Western
2021-03-18,Washington,2,541,0,0.2533,Western
2021-03-18,Dighton,2,7967,23,0.2572654367826994,Southeast
2021-03-18,Mansfield,2,24470,61,0.2582072892555027,Southeast
2021-03-18,Needham,2,31388,90,0.25929084704061583,Metro West
2021-03-18,Blackstone,2,9288,15,0.26102749296993294,Central
2021-03-18,Norwell,2,11153,43,0.26386289448893074,Metro West
2021-03-18,North Brookfield,2,4792,8,0.2649,Central
2021-03-18,Plainville,2,9293,20,0.2663,Metro West
2021-03-18,Pepperell,2,12114,21,0.270232582967806,Central
2021-03-18,Richmond,2,1416,2,0.27032717421505975,Western
2021-03-18,Uxbridge,2,14195,21,0.2705659433251742,Central
2021-03-18,Falmouth,2,30993,48,0.2708718962659991,Southeast
2021-03-18,Wilmington,2,23445,75,0.27092412291825174,Metro West
2021-03-18,Norton,2,19948,33,0.27372089232963226,Southeast
2021-03-18,Charlton,2,13713,28,0.2750642857142857,Central
2021-03-18,Winchester,2,22799,29,0.2753842980581622,Metro West
2021-03-18,Lakeville,2,11561,44,0.2768425707716626,Southeast
2021-03-18,Wakefield,2,27045,129,0.27805251854599405,Northeast
2021-03-18,Seekonk,2,15770,37,0.28076083497698884,Southeast
2021-03-18,Hamilton,2,8051,16,0.2823136159600998,Northeast
2021-03-18,New Marlborough,2,1458,0,0.2835,Western
2021-03-18,Goshen,2,1059,0,0.2876,Western
2021-03-18,Lexington,2,33132,35,0.28871288476077334,Metro West
2021-03-18,Easton,2,25105,71,0.29017073639448826,Southeast
2021-03-18,Mashpee,2,14229,39,0.29086308876811595,Southeast
2021-03-18,Belchertown,2,15098,30,0.29143101489944545,Western
2021-03-18,West Bridgewater,2,7281,25,0.29344766224703417,Southeast
2021-03-18,Ipswich,2,14074,23,0.2967161571109992,Northeast
2021-03-18,Belmont,2,26116,30,0.29743628230234614,Metro West
2021-03-18,Alford,2,488,0,0.29782574139976276,Western
2021-03-18,West Stockbridge,2,1257,2,0.29782574139976276,Western
2021-03-18,Hampden,2,5177,11,0.2979,Western
2021-03-18,Barnstable,2,44477,306,0.3018825298966884,Southeast
2021-03-18,Warren,2,5222,11,0.3027,Central
2021-03-18,Brewster,2,9775,16,0.3036714064436183,Southeast
2021-03-18,Nantucket,2,11399,53,0.3059024474093477,Southeast
2021-03-18,Plymouth,2,61528,244,0.3059626401038243,Southeast
2021-03-18,Williamsburg,2,2466,4,0.31042823912882433,Western
2021-03-18,Yarmouth,2,23203,90,0.31080061939969644,Southeast
2021-03-18,Rochester,2,5687,4,0.3109,Southeast
2021-03-18,Auburn,2,16766,65,0.31426935609932066,Central
2021-03-18,Blandford,2,1252,3,0.3157,Western
2021-03-18,Granville,2,1611,0,0.3157,Western
2021-03-18,Russell,2,1792,4,0.3157,Western
2021-03-18,Tolland,2,508,0,0.3157,Western
2021-03-18,Cheshire,2,3129,3,0.3198,Western
2021-03-18,Westport,2,16034,49,0.319988458189802,Southeast
2021-03-18,Topsfield,2,6641,12,0.3219,Northeast
2021-03-18,Billerica,2,43367,105,0.32413292636647956,Northeast
2021-03-18,Chester,2,1369,5,0.3243361813935383,Western
2021-03-18,Tyngsborough,2,12527,14,0.3243678030693172,Northeast
2021-03-18,Truro,2,2008,0,0.3246,Southeast
2021-03-18,Tewksbury,2,31178,57,0.3247095735758983,Northeast
2021-03-18,East Brookfield,2,2210,10,0.3253,Central
2021-03-18,Harwich,2,12142,26,0.32599626188714403,Southeast
2021-03-18,Westborough,2,19144,65,0.32643288023512124,Metro West
2021-03-18,Swansea,2,16834,33,0.32850643907180177,Southeast
2021-03-18,Bourne,2,19762,45,0.32920538899962937,Southeast
2021-03-18,Northbridge,2,16679,35,0.3316765197697062,Central
2021-03-18,Stoneham,2,24126,101,0.33202011380057805,Northeast
2021-03-18,Millbury,2,13947,35,0.3382205810736027,Central
2021-03-18,Acton,2,23662,29,0.33909172238874796,Metro West
2021-03-18,Foxborough,2,18399,49,0.3414833076703735,Metro West
2021-03-18,Milton,2,27593,44,0.34307237034012017,Metro West
2021-03-18,Abington,2,16668,46,0.34334214228009313,Southeast
2021-03-18,South Hadley,2,17625,25,0.3435509794156707,Western
2021-03-18,Cummington,2,874,1,0.34389999999999993,Western
2021-03-18,Middlefield,2,534,0,0.34389999999999993,Western
2021-03-18,Plainfield,2,661,0,0.34389999999999993,Western
2021-03-18,Worthington,2,1175,2,0.34389999999999993,Western
2021-03-18,Oak Bluffs,2,4667,5,0.3460082801107782,Southeast
2021-03-18,Tisbury,2,4096,1,0.3492536711001768,Southeast
2021-03-18,Deerfield,2,4991,7,0.3496264488935722,Western
2021-03-18,Huntington,2,2169,3,0.3509173913043478,Western
2021-03-18,Montgomery,2,866,0,0.3509173913043478,Western
2021-03-18,Orleans,2,5788,13,0.35171079795350507,Southeast
2021-03-18,Dalton,2,6525,13,0.3522169740973312,Western
2021-03-18,Watertown,2,35939,61,0.36007133066620284,Metro West
2021-03-18,Newton,2,88414,150,0.36064495800021995,Metro West
2021-03-18,Gloucester,2,30430,74,0.3608929248893474,Northeast
2021-03-18,Beverly,2,42174,112,0.36422173204572145,Northeast
2021-03-18,Whitman,2,15216,49,0.36540242630840186,Southeast
2021-03-18,Sunderland,2,3629,19,0.3693,Western
2021-03-18,Whately,2,1567,0,0.3693,Western
2021-03-18,Lunenburg,2,11736,23,0.3741587791677757,Central
2021-03-18,Monterey,2,924,1,0.37449706661234466,Western
2021-03-18,Leverett,2,1837,0,0.3747,Western
2021-03-18,New Salem,2,1021,0,0.3747,Western
2021-03-18,Shutesbury,2,1754,1,0.3747,Western
2021-03-18,Hancock,2,696,0,0.37538682766190995,Western
2021-03-18,New Ashford,2,223,0,0.37538682766190995,Western
2021-03-18,South Boston,2,40094,169,0.3755004697562392,Boston
2021-03-18,Northfield,2,2958,2,0.37820000000000004,Western
2021-03-18,Middleborough,2,25463,56,0.3811866108957356,Southeast
2021-03-18,Bridgewater,2,27619,79,0.38398384866376634,Southeast
2021-03-18,Easthampton,2,15829,29,0.39007504482294936,Western
2021-03-18,Westhampton,2,1637,0,0.39007504482294936,Western
2021-03-18,Medford,2,57341,161,0.3907115972106923,Northeast
2021-03-18,Weston,2,12124,24,0.39082625341841387,Metro West
2021-03-18,Burlington,2,28627,62,0.392104416275546,Metro West
2021-03-18,Arlington,2,45531,76,0.3927953494704559,Metro West
2021-03-18,Bedford,2,14123,0,0.3928912431776834,Metro West
2021-03-18,Marion,2,5188,4,0.394,Southeast
2021-03-18,Somerville,2,81360,221,0.3943876105023306,Metro West
2021-03-18,North Andover,2,31188,80,0.39554672921638495,Northeast
2021-03-18,East Bridgewater,2,14526,23,0.3966290351730849,Southeast
2021-03-18,Hopedale,2,5951,12,0.3988,Central
2021-03-18,Charlestown,2,19414,73,0.3991709333470691,Boston
2021-03-18,Southwick,2,9740,25,0.399201511257325,Western
2021-03-18,Ayer,2,8196,19,0.407,Central
2021-03-18,Dracut,2,31634,106,0.41074265016311645,Northeast
2021-03-18,Westwood,2,16400,23,0.410875483512412,Metro West
2021-03-18,Dedham,2,25219,89,0.41123478740591873,Metro West
2021-03-18,Spencer,2,11935,37,0.41166926047175356,Central
2021-03-18,Wilbraham,2,14689,43,0.41178614024490695,Western
2021-03-18,Canton,2,23805,102,0.4131867727154837,Metro West
2021-03-18,Harvard,2,6620,4,0.41550423004547593,Central
2021-03-18,Concord,2,18918,29,0.4159401707438459,Metro West
2021-03-18,Lanesborough,2,2940,0,0.41674514528703044,Western
2021-03-18,Hatfield,2,3251,10,0.41870000000000007,Western
2021-03-18,Amesbury,2,17532,17,0.41872763839337096,Northeast
2021-03-18,Agawam,2,28613,74,0.4227385500857213,Western
2021-03-18,Monson,2,8787,24,0.4241113092297327,Western
2021-03-18,Hudson,2,19864,48,0.4249634336621704,Metro West
2021-03-18,Holland,2,2482,2,0.4262,Central
2021-03-18,Wales,2,1874,2,0.4262,Central
2021-03-18,Carver,2,11767,20,0.4290752937140897,Southeast
2021-03-18,Wellfleet,2,2724,5,0.4292525004682524,Southeast
2021-03-18,Stockbridge,2,1890,1,0.4296,Western
2021-03-18,West Brookfield,2,3727,11,0.42987779632721207,Central
2021-03-18,Millville,2,3257,12,0.4316999999999999,Central
2021-03-18,Longmeadow,2,15705,26,0.4323373552739539,Western
2021-03-18,Merrimac,2,6960,13,0.43450000000000005,Northeast
2021-03-18,Rockland,2,17986,63,0.4356365123680831,Southeast
2021-03-18,Kingston,2,13863,43,0.4395180255586279,Southeast
2021-03-18,Brookfield,2,3452,4,0.4426999999999999,Central
2021-03-18,Brookline,2,59121,92,0.4427995816695189,Boston
2021-03-18,East Longmeadow,2,16192,41,0.44385202469135804,Western
2021-03-18,Cambridge,2,118927,248,0.44386702062197264,Metro West
2021-03-18,Winthrop,2,18544,62,0.4498762881035878,Boston
2021-03-18,Grafton,2,18883,70,0.45239594689662993,Central
2021-03-18,Somerset,2,18129,32,0.4524839091964608,Southeast
2021-03-18,Stoughton,2,28915,68,0.45277120334709486,Southeast
2021-03-18,Shelburne,2,1837,1,0.45410169986878207,Western
2021-03-18,Danvers,2,27549,55,0.454587333067931,Northeast
2021-03-18,Oxford,2,14009,26,0.4548224814713148,Central
2021-03-18,Egremont,2,1205,4,0.45612348411934556,Western
2021-03-18,Leicester,2,11341,25,0.4610422267287424,Central
2021-03-18,Barre,2,5578,20,0.4612,Central
2021-03-18,Norwood,2,29725,77,0.46282779699325366,Metro West
2021-03-18,Dennis,2,13871,34,0.46373121548844504,Southeast
2021-03-18,Brimfield,2,3680,8,0.464,Central
2021-03-18,West Boylston,2,8077,7,0.4675452000565531,Central
2021-03-18,Sturbridge,2,9597,24,0.4684786410821013,Central
2021-03-18,Weymouth,2,57746,156,0.4763061811183747,Metro West
2021-03-18,Lancaster,2,8082,26,0.4804,Central
2021-03-18,North Attleborough,2,29364,104,0.4817314374286883,Southeast
2021-03-18,Woburn,2,40228,128,0.482981892353695,Metro West
2021-03-18,Holbrook,2,11033,29,0.4841833725987677,Southeast
2021-03-18,Milford,2,29101,112,0.4845874863477501,Central
2021-03-18,Clinton,2,14000,38,0.4861303115332039,Central
2021-03-18,Braintree,2,37190,135,0.49260792861558306,Metro West
2021-03-18,Hadley,2,5342,9,0.4928,Western
2021-03-18,Dudley,2,11773,23,0.4950816812189694,Central
2021-03-18,Williamstown,2,7434,10,0.49774551589242055,Western
2021-03-18,Dartmouth,3,34188,95,0.5015555016784782,Southeast
2021-03-18,Bernardston,3,2090,2,0.5024,Western
2021-03-18,Gill,3,1465,4,0.5024,Western
2021-03-18,Leyden,3,715,1,0.5024,Western
2021-03-18,Otis,3,1539,0,0.5038,Western
2021-03-18,Sandisfield,3,891,1,0.5038,Western
2021-03-18,Templeton,3,8138,12,0.5066291349809886,Central
2021-03-18,Back Bay Downtown,3,55698,161,0.5099104373419312,Boston
2021-03-18,Salisbury,3,9534,2,0.5102291128244109,Northeast
2021-03-18,Attleboro,3,45237,136,0.5106474278373591,Southeast
2021-03-18,Waltham,3,62495,255,0.5143622830345723,Metro West
2021-03-18,Fairhaven,3,16078,48,0.518450742543367,Southeast
2021-03-18,Shrewsbury,3,38526,96,0.5185445244922053,Central
2021-03-18,Adams,3,8010,5,0.5196306241184767,Western
2021-03-18,Ashburnham,3,6348,12,0.5204444526280549,Central
2021-03-18,Middleton,3,10110,19,0.523,Northeast
2021-03-18,Swampscott,3,15298,33,0.5255620061548698,Northeast
2021-03-18,Pelham,3,1313,0,0.5284776215950041,Western
2021-03-18,Great Barrington,3,6945,8,0.5313805282680472,Western
2021-03-18,Westfield,3,41204,110,0.5323587362502052,Western
2021-03-18,West Roxbury,3,28487,67,0.5327960371189094,Boston
2021-03-18,Amherst,3,39924,220,0.5353010584903818,Western
2021-03-18,Avon,3,4549,24,0.536,Southeast
2021-03-18,Raynham,3,14470,39,0.5366996780912706,Southeast
2021-03-18,Framingham,3,74416,285,0.5431750443038718,Metro West
2021-03-18,Peabody,3,53070,176,0.544176642390996,Northeast
2021-03-18,Ludlow,3,21233,84,0.5473232470941133,Western
2021-03-18,Orange,3,7582,7,0.5539210209078923,Western
2021-03-18,Pittsfield,3,42142,57,0.5623749401277275,Western
2021-03-18,Allston Brighton,3,66585,194,0.5659213148057858,Boston
2021-03-18,West Springfield,3,28517,102,0.5684341275378497,Western
2021-03-18,Lenox,3,4944,5,0.5725347410358566,Western
2021-03-18,Gardner,3,20683,35,0.5772364076141405,Central
2021-03-18,Erving,3,1750,3,0.5841,Western
2021-03-18,Warwick,3,769,1,0.5841,Western
2021-03-18,Wendell,3,878,0,0.5841,Western
2021-03-18,Provincetown,3,2961,7,0.5854,Southeast
2021-03-18,Northampton,3,28451,51,0.5881651366724602,Western
2021-03-18,Petersham,3,1250,3,0.5930437345763642,Western
2021-03-18,Greenfield,3,17258,22,0.5964984371419405,Western
2021-03-18,Montague,3,8212,12,0.5965098572864321,Western
2021-03-18,Wareham,3,22745,56,0.5970067627035027,Southeast
2021-03-18,Quincy,3,94470,281,0.5973709676268617,Metro West
2021-03-18,Jamaica Plain,3,40377,78,0.5978199962794158,Boston
2021-03-18,Taunton,3,57464,147,0.6030009231909612,Southeast
2021-03-18,Palmer,3,12232,39,0.605219844789357,Western
2021-03-18,Methuen,3,50706,192,0.6068451288510366,Northeast
2021-03-18,Haverhill,3,64014,230,0.6140824470058464,Northeast
2021-03-18,Marlborough,3,39597,115,0.616249253318584,Metro West
2021-03-18,Athol,3,11732,26,0.6275264220433775,Western
2021-03-18,Phillipston,3,1746,3,0.6275264220433775,Western
2021-03-18,Buckland,3,1850,1,0.6307,Western
2021-03-18,Saugus,3,28361,108,0.6337984096932979,Northeast
2021-03-18,Charlemont,3,1233,0,0.6340692567160584,Western
2021-03-18,Hawley,3,334,0,0.6340692567160584,Western
2021-03-18,Lee,3,5664,24,0.6365734154400722,Western
2021-03-18,Colrain,3,1661,5,0.6369,Western
2021-03-18,Heath,3,695,0,0.6369,Western
2021-03-18,Monroe,3,115,0,0.6369,Western
2021-03-18,Rowe,3,389,0,0.6369,Western
2021-03-18,Salem,3,43226,126,0.6386260657706341,Northeast
2021-03-18,Hardwick,3,3057,4,0.6596,Central
2021-03-18,New Braintree,3,1024,1,0.6596,Central
2021-03-18,Acushnet,3,10625,34,0.662546470842956,Southeast
2021-03-18,Winchendon,3,10905,27,0.6697719016557954,Central
2021-03-18,Florida,3,715,1,0.6706,Western
2021-03-18,Savoy,3,675,1,0.6706,Western
2021-03-18,Webster,3,16949,35,0.6710597489835602,Central
2021-03-18,Shirley,3,7636,4,0.6733,Central
2021-03-18,Fenway,3,54727,173,0.6803044497865044,Boston
2021-03-18,Roslindale,3,33771,84,0.6889500552841606,Boston
2021-03-18,Royalston,3,1277,9,0.6896282685512367,Western
2021-03-18,Chicopee,3,55126,214,0.6913100400684502,Western
2021-03-18,Ware,3,9711,26,0.6935157051055717,Western
2021-03-18,Leominster,3,41716,126,0.6993952823344484,Central
2021-03-18,Randolph,3,34362,105,0.7194572938582038,Metro West
2021-03-18,Clarksburg,3,1638,0,0.7434401175246373,Western
2021-03-18,North Adams,3,12730,11,0.7434401175246373,Western
2021-03-18,Malden,3,60470,230,0.7453886480939764,Northeast
2021-03-18,South End,3,35756,91,0.7463735827296644,Boston
2021-03-18,Worcester,3,185428,547,0.7478125974598236,Central
2021-03-18,New Bedford,4,95363,261,0.7618810964307428,Southeast
2021-03-18,Fitchburg,4,40638,121,0.7675924232644067,Central
2021-03-18,Revere,4,53073,250,0.7799411540207468,Boston
2021-03-18,Lynn,4,94299,340,0.7821289551787368,Northeast
2021-03-18,Fall River,4,89541,275,0.7909471106798017,Southeast
2021-03-18,Everett,4,46451,226,0.7946761799951089,Northeast
2021-03-18,Southbridge,4,16878,70,0.7976409257724637,Central
2021-03-18,Lowell,4,110997,416,0.8027664675216498,Northeast
2021-03-18,Holyoke,4,40117,148,0.8052782370715276,Western
2021-03-18,Dorchester Codman,4,80880,276,0.8058765618586984,Boston
2021-03-18,Hyde Park,4,68446,113,0.8228198709009942,Boston
2021-03-18,Brockton,4,95708,275,0.8228599020903105,Southeast
2021-03-18,East Boston,4,46927,143,0.8521982419502632,Boston
2021-03-18,Springfield,4,153606,587,0.8596219077209748,Western
2021-03-18,Dorchester Uphams,4,64277,285,0.8731214436402206,Boston
2021-03-18,Roxbury,4,43127,141,0.8832675530263838,Boston
2021-03-18,Chelsea,4,39690,98,0.8885439250225836,Boston
2021-03-18,Mattapan,4,29591,88,0.9052692293795291,Boston
2021-03-18,Lawrence,4,80028,292,0.908547656681321,Northeast
2021-01-21,Unknown town,NA,NA,NA,NA,NA
